url,title,featured,artist,artistBio,tags
01.jpg,Mask,TRUE,Lanzgg,TBD,"Urban, Bright, Calm, Low, People, Funny, Buildings, Alternative"
02.jpg,Bicycle,TRUE,Lanzgg,TBD,"Urban, Black/White, Calm, Low, Bicycle, Windows, Classical, Buildings"
03.jpg,Hatchback,TRUE,Lanzgg,TBD,"Urban, Bright, Calm, Low, Yellow, Car, Retro, Buildings"
04.jpg,Boots,,Lanzgg,TBD,"Urban, Pastels, Calm, Low, Clothing, Buildings, Work, Dirt"
05.jpg,Retro Car,,Lanzgg,TBD,"Urban, Bright, Uplifting, Medium, Car, Retro, Colorful, Graffiti"
06.jpg,Red Bicylce,,Lanzgg,TBD,"Urban, Bright, Calm, Medium, Bicycle, Red, Buildings, Retro"
07.jpg,Dog,,Lanzgg,TBD,"Urban, Black/White, Sad, Medium, Animals, Dog, Buildings, Windows"
08.jpg,Coca Cola,,Lanzgg,TBD,"Urban, Bright, Calm, Medium, Coca Cola, Modern, Buildings, Graffiti"
09.jpg,Kauai,,Darren Magana,TBD,"Nature, Bright, Calm, Medium, Green, Mountain, Tree, Sky"
10.jpg,Luxor Obelisk,,Darren Magana,TBD,"Nature, Earth tones, Uplifting, Low, Light, Monument, Cloud, Sky"
11.jpg,Quail Lake,,Darren Magana,TBD,"Nature, Earth tones, Calm, Medium, Night, Sky, Star, Blue"
12.jpg,Sunset,,Darren Magana,TBD,"Nature, Warm, Calm, Medium, Sunset, Sea, Red, Cloud"
13.jpg,Freighter,,Darren Magana,TBD,"Nature, Earth tones, Calm, Medium, Sea, Boat, Blue, Industrial"
14.jpg,Zion,,Darren Magana,TBD,"Nature, Earth tones, Uplifting, Medium, Cloud, Speed, Green, Mountain"
15.jpg,Old Woman,,Liat,TBD,"People, Bright, Calm, Medium, Green, Eyes, Old, Years"
16.jpg,Monkeys,,Liat,TBD,"Nature, Bright, Happy, Medium, Light, Animals, Green, Tree"
17.jpg,Angkor Dark Sunset,,Liat,TBD,"Nature, Earth tones, Calm, Low, Reflection, Red, Colorful, Sunset"
18.jpg,Angkor Sunset,,Liat,TBD,"Nature, Bright, Calm, Low, Reflection, Orange, Colorful, Sunset"
20.jpg,Tree in Puddle,,Liat,TBD,"Urban, Black/White, Sad, Medium, Reflection, Tree, Sombre, Shadows"
21.jpg,Street Sign in Puddle,,Liat,TBD,"Urban, Black/White, Sad, Medium, Reflection, Street, Sombre, Shadows"
22.jpg,Broadway in Puddle,,Liat,TBD,"Urban, Black/White, Sad, Medium, Reflection, Street, Sombre, Shadows"
29.jpg,Clouded Mountains,,Liat,TBD,"Nature, Earth tones, Uplifting, Medium, Bright, Cloud, Tree, Mountain"
30.jpg,Mountain Reflection,,Liat,TBD,"Nature, Earth tones, Calm, Medium, Warm, Cloud, Water, Mountain"
34.jpg,Sheep,,Liat,TBD,"Nature, Earth tones, Calm, Medium, Animals, Mountain, Green, White"
36.jpg,Sea Lion,,Liat,TBD,"Nature, Earth tones, Calm, Medium, Animals, Happy, Green, Pasture"
37.jpg,Whale Tail,,Liat,TBD,"Nature, Bright, Happy, Medium, Animals, Sea, Cloud, Blue"
43.jpg,Cars on Sand Dune 1,,Kate Stephens,TBD,"Nature, Earth tones, Calm, Low, Sand, Inmensity, Car, Desert"
44.jpg,Cars on Sand Dune 2,,Kate Stephens,TBD,"Nature, Earth tones, Calm, Low, Sand, Inmensity, Car, Desert"
45.jpg,Cheetah 1 ,,Kate Stephens,TBD,"Nature, Earth tones, Calm, Medium, Animals, Green, Africa, Reflexion"
46.jpg,Cheetah 2,,Kate Stephens,TBD,"Nature, Earth tones, Calm, Medium, Animals, Green, Africa, Sad"
50.jpg,Church,,Kate Stephens,TBD,"Nature, Bright, Calm, Medium, Buildings, Blue, Tree, Green"
52.jpg,Desert Tree,,Kate Stephens,TBD,"Nature, Earth tones, Calm, Medium, Africa, Brown, Inmensity, Tree"
55.jpg,Lion 1,,Kate Stephens,TBD,"Nature, Earth tones, Calm, Medium, Africa, Animals, Energy, Green"
57.jpg,Lion 3,,Kate Stephens,TBD,"Nature, Earth tones, Calm, Medium, Africa, Animals, Energy, Green"
60.jpg,Lionesses ,,Kate Stephens,TBD,"Nature, Earth tones, Calm, Medium, Africa, Animals, Energy, Green"
61.jpg,Oryx 1,,Kate Stephens,TBD,"Nature, Earth tones, Calm, Medium, Africa, Animals, Energy, Brown"
62.jpg,Oryx 2,,Kate Stephens,TBD,"Nature, Earth tones, Calm, Medium, Africa, Animals, Energy, Brown"
63.jpg,Oryx 3,,Kate Stephens,TBD,"Nature, Earth tones, Calm, Medium, Africa, Animals, Energy, Brown"
64.jpg,Red Sand Dune,,Kate Stephens,TBD,"Nature, Earth tones, Calm, Low, Africa, Red, Inmensity, Desert"
65.jpg,Sand Dune & Beach,,Kate Stephens,TBD,"Nature, Earth tones, Calm, Low, Africa, Sea, Inmensity, Desert"
69.jpg,Shipwreck,,Kate Stephens,TBD,"Nature, Earth tones, Calm, Medium, Boat, Sea, Desert, Blue"
70.jpg,Sossusvlei 1,,Kate Stephens,TBD,"Nature, Earth tones, Calm, Low, Africa, Brown, Tree, Desert"
71.jpg,Sossusvlei 2,,Kate Stephens,TBD,"Nature, Earth tones, Calm, Low, Africa, Brown, Tree, Desert"
74.jpg,Wild Dogs,,Kate Stephens,TBD,"Nature, Earth tones, Calm, Medium, Africa, Animals, Green, Energy"
75.jpg,Boats on Shore,,Kate Stephens,TBD,"Urban, Bright, Calm, Medium, Boat, Blue, Repetition, Canoe"
76.jpg,City from Above,,Kate Stephens,TBD,"Urban, Bright, Uplifting, Medium, Italy, Colorful, Sea, Green"
77.jpg,Flower Basket,,Kate Stephens,TBD,"Urban, Bright, Calm, Medium, Italy, Pink, Blue, Flower"
79.jpg,Privato ,,Kate Stephens,TBD,"Nature, Bright, Calm, Medium, Italy, Sea, Green, Vineyard"
80.jpg,Rock Formation,,Kate Stephens,TBD,"Nature, Bright, Calm, Medium, Sea, Blue, Rock, Reflexion"
81.jpg,Stone City,,Kate Stephens,TBD,"Nature, Bright, Calm, Medium, Buildings, Italy, Blue, Sky"
84.jpg,Bird in Tree,,Lili Castillo,TBD,"Nature, Black/White, Sad, Medium, Animals, Africa, Tree, Waiting"
86.jpg,Birds Waiting,,Lili Castillo,TBD,"Nature, Black/White, Calm, Low, Animals, Africa, Peaceful, Tree"
89.jpg,Lioness,,Lili Castillo,TBD,"Nature, Black/White, Calm, Medium, Animals, Africa, Pasture, Energy"
90.jpg,Oasis,,Lili Castillo,TBD,"Nature, Earth tones, Uplifting, Medium, Light, Africa, Water, cloud"
91.jpg,Plateau,,Lili Castillo,TBD,"Nature, Earth tones, Uplifting, Medium, Animals, Africa, Light, Green"
92.jpg,Predator,,Lili Castillo,TBD,"Nature, Black/White, Sad, Medium, Animals, Africa, Energy, Wildlife"
